"hbw_name","wikidata_qid","hex","type","is_natural_plumage"
"Pantone 203 C","Q106940583","ECB3CB","General",TRUE
"Pantone 2035 C","Q106918387","D6001C","General",TRUE
"Pantone 2084 C","Q106925206","7F35B2","General",TRUE
"Pantone 2239 C","Q106940464","00CFB4","General",TRUE
"Pantone 2423 C","Q106918436","00AA13","General",TRUE
"Pantone 2597 C","Q106918449","5C068C","General",TRUE
"Pantone 268 C","Q106620932","582C83","General",TRUE
"Pantone 2758 C","Q106918444","001E62","General",TRUE
"Pantone 280 C","Q110396519","012269","General",TRUE
"Pantone 280 U","Q97624378","3C4981","General",TRUE
"Pantone 282 U","Q97623821","434967","General",TRUE
"Pantone 293 C","Q106918440","003DA5","General",TRUE
"Pantone 2935 C","Q94689768","0057B8","General",TRUE
"Pantone 297 C","Q106923466","71C5E8","General",TRUE
"Pantone 310 C","Q106622686","6AD1E3","General",TRUE
"Pantone 421 C","Q110396943","B2B4B1","General",TRUE
"Pantone 432 U","Q97624424","676C73","General",TRUE
"Pantone 4625 U","Q114876979","532E1F","General",TRUE
"Pantone 485 C","Q107311245","DA291C","General",TRUE
"Pantone 567 U","Q97623544","4A635D","General",TRUE
"Pantone 712 C","Q105036818","FCC89B","General",TRUE
"Pantone 7406 C","Q97623594","FFCB05","General",TRUE
"Pantone 7406 U","Q114877009","F1C500","General",TRUE
"Pantone 803 C","Q136525233","FFE900","General",TRUE
"Pantone 812 C","Q105036822","FF5FA2","General",TRUE
"Pantone Blue 072 C","Q110397017","10059F","General",TRUE
"Pantone Reflex Blue","Q109591831","001489","General",TRUE
"Papaya whip","Q3894699","FFEFD5","General",TRUE
"Persian Indigo","Q11144247","32127A","General",TRUE
"Persian green","Q5922149","00A693","General",TRUE
"Persimmon","Q8217074","EC5800","General",TRUE
"Pink","Q24239857","FFC0DB","General",TRUE
"Princeton orange","Q103888297","E87722","General",TRUE
"Rebecca purple","Q84237818","663399","General",TRUE
"Reseda green","Q25349006","587246","General",TRUE
"Savoy blue","Q3641120","4B61D1","General",TRUE
"Seymour Purple","Q134313514","4E2983","General",TRUE
"Shinbashi colour","Q11502631","59B9C6","General",TRUE
"Skagen yellow","Q71460159","E5B165","General",TRUE
"Stanford Cardinal Red","Q126888533","8C1515","General",TRUE
"Telltale red","Q124216405","962F25","General",TRUE
"Tyrian purple","Q112732593","990024","General",TRUE
"Tǔ huángsè","Q10927920","E89B00","General",TRUE
"UN blue","Q2145530","009EDB","General",TRUE
"Vegas gold","Q97106579","C5B358","General",TRUE
"Yellow Green No. 6","Q11677801","7BAB4F","General",TRUE
"Zima blue","Q65034853","5BC2E7","General",TRUE
"amphora","Q106510555","D88256","General",TRUE
"ancient purple","Q97377848","8C6589","General",TRUE
"anthracite","Q2853007","2B292E","General",TRUE
"antique pink","Q19361243","D47479","General",TRUE
"antique ruby","Q123852956","841B2D","Iridescent",TRUE
"army green","Q2553431","4B5320","General",TRUE
"ash grey","Q3776737","E4E5E0","Pigmentary",TRUE
"asparagus","Q2866788","7BA05B","General",TRUE
"avocado","Q131618362","568203","General",TRUE
"azalea","Q25336659","D3305D","General",TRUE
"baby blue","Q2294901","89CFF0","General",TRUE
"baby powder","Q110102807","FEFEFA","General",TRUE
"basalt black","Q124302386","3E3E3E","Pigmentary",TRUE
"battleship grey","Q109442450","848482","Pigmentary",TRUE
"beige green","Q25402007","BEBD7F","General",TRUE
"big dip o'ruby","Q123852873","9C2542","Iridescent",TRUE
"bisque","Q2904722","FFE4C4","General",TRUE
"bister","Q76011056","3D2B1F","General",TRUE
"black russian","Q112732637","025DD2","Pigmentary",TRUE
"blackish","Q115413850","2C2C2A","Pigmentary",TRUE
"blackish-purple","Q124328099","291E29","Pigmentary",TRUE
"blanched almond","Q90278470","FFEBCD","General",TRUE
"blond","Q115918071","FAF0BE","General",TRUE
"blue no. 24","Q11660963","00B2E5","General",TRUE
"blue-magenta","Q121715819","4B0082","General",TRUE
"bone white","Q114420553","F9F6EE","Pigmentary",TRUE
"bottle green","Q3556203","006A4E","General",TRUE
"brass","Q109441995","B5A642","General",TRUE
"brick red","Q98111784","CB4154","General",TRUE
"bright cream","Q2905897","FEFEE2","General",TRUE
"bright orange","Q93493270","E76318","General",TRUE
"bright pastel pink","Q132858662","F6B2D7","General",TRUE
"bright ube","Q115653670","D19FE8","General",TRUE
"bright yellow","Q136525184","FFE900","General",TRUE
"brighter dark red","Q60679352","990000","General",TRUE
"brown special","Q24239813","532F15","Pigmentary",TRUE
"brownish","Q124309091","9C6D57","Pigmentary",TRUE
"burlywood","Q90793919","DEB887","General",TRUE
"burnt orange","Q3621276","CC5500","General",TRUE
"cadet blue","Q90799158","5F9EA0","General",TRUE
"cadmium orange","Q3621275","E36122","General",TRUE
"camouflage green","Q4009899","78866B","General",TRUE
"canary","Q110103247","FFFF99","General",TRUE
"candy apple red","Q13631176","FF0800","General",TRUE
"capsicum red","Q133234124","E40F0C","General",TRUE
"caramel","Q2937858","7E3300","General",TRUE
"carmine pink","Q64211725","FB503B","General",TRUE
"carnelian","Q5043987","B31B1B","General",TRUE
"carrot red","Q3660634","ED9133","General",TRUE
"celadon","Q2541418","ACE1AF","General",TRUE
"celadon green","Q3556204","83A697","General",TRUE
"chalk white","Q115924565","E6E9E9","Pigmentary",TRUE
"champagne","Q5069879","FAF2C5","General",TRUE
"charcoal","Q109435152","36454F","General",TRUE
"charcoal grey","Q96803467","3C4142","Pigmentary",TRUE
"chartreuse green","Q97342321","D9E367","General",TRUE
"cherry blossom pink","Q11538188","FEEEED","General",TRUE
"chili pepper","Q106065949","9B1B30","General",TRUE
"china blue","Q110103231","53677A","General",TRUE
"cigar brown","Q90809398","6D4F4B","Pigmentary",TRUE
"cinereous","Q5120881","98817B","General",TRUE
"cinnabar green","Q4009897","58791E","General",TRUE
"citrine","Q5122822","E4D00A","General",TRUE
"citron","Q2974481","DDD06A","General",TRUE
"clam pink","Q18658462","FDFFF4","General",TRUE
"cloud white","Q137071644","F2F2ED","Pigmentary",TRUE
"cobalt violet","Q4013847","74489C","General",TRUE
"color of safflower","Q11538718","FFD768","General",TRUE
"cool black","Q111812647","002E63","Pigmentary",TRUE
"cork","Q106061107","40291D","General",TRUE
"cornsilk","Q90809250","FFF8DC","General",TRUE
"coyote","Q106006497","DDB77B","General",TRUE
"cyan","Q87067369","00FFFF","General",TRUE
"cyclamen","Q20529018","F56FA1","General",TRUE
"daffodil","Q110102703","FFFF31","General",TRUE
"dark  orange","Q90799164","FF8C00","General",TRUE
"dark Teal Tune","Q112083819","115077","General",TRUE
"dark blue","Q11606233","233B6C","General",TRUE
"dark charcoal","Q130530219","333333","General",TRUE
"dark cyan","Q90809255","008B8B","General",TRUE
"dark goldenrod","Q90809261","B8860B","Iridescent",TRUE
"dark indigo","Q113448965","310062","General",TRUE
"dark jungle green","Q111851367","1A2421","General",TRUE
"dark khaki","Q90809266","BDB76B","General",TRUE
"dark magenta","Q90809273","8B008B","General",TRUE
"dark olive green","Q90809281","556B2F","General",TRUE
"dark orchid","Q90809286","9932CC","General",TRUE
"dark ruby","Q115944478","6C4541","Iridescent",TRUE
"dark sea green","Q90809303","8FBC8F","General",TRUE
"dark slate blue","Q90809308","483D8B","General",TRUE
"dark slate gray","Q90809316","2F4F4F","General",TRUE
"dark turquoise","Q84430751","00CED1","Iridescent",TRUE
"dark violet","Q90809330","9400D3","General",TRUE
"dark yellow","Q124153022","FFCC00","General",TRUE
"deep blue","Q112732567","0C1B32","General",TRUE
"deep pink","Q89328051","FF1493","General",TRUE
"deep purple","Q112732364","391F44","General",TRUE
"deep ruby","Q123852998","843F5B","Iridescent",TRUE
"deep sky blue","Q90809332","00BFFF","General",TRUE
"denim","Q3705434","1560BD","General",TRUE
"dim gray","Q90809337","696969","General",TRUE
"dirty white","Q35625860","DBDCDA","Pigmentary",TRUE
"dove grey","Q136459339","6D6C6C","Pigmentary",TRUE
"duck-egg blue","Q132643994","C3FBF4","General",TRUE
"dull blue","Q115941768","BDCFD2","General",TRUE
"dull red","Q115413993","BB3F3F","General",TRUE
"dusky brown","Q71406823","846655","Pigmentary",TRUE
"ebony","Q109433936","555D50","General",TRUE
"eerie black","Q109433917","1B1B1B","Pigmentary",TRUE
"egg white","Q133289362","F1EDE2","Pigmentary",TRUE
"eggplant","Q56324355","990066","General",TRUE
"eggshell","Q5347944","F0EAD6","General",TRUE
"enji","Q11261134","AE3846","General",TRUE
"fantasy","Q136459479","FAF3F0","General",TRUE
"feijoa","Q128804553","A5D785","General",TRUE
"fern green","Q13424722","4F7942","General",TRUE
"firebrick","Q90809354","B22222","General",TRUE
"flax blue","Q132496788","B5D5E4","General",TRUE
"floral white","Q25402474","FFFAF0","Pigmentary",TRUE
"foliage green","Q115653492","3E6F58","General",TRUE
"folly","Q112175360","FF004F","General",TRUE
"french beige","Q132859887","A67B5B","General",TRUE
"frosted blue","Q2906503","80D0D0","General",TRUE
"fulvous","Q5508507","E48400","General",TRUE
"gainsboro","Q3757283","DCDCDC","General",TRUE
"gentle blue","Q123575515","B4D0E2","General",TRUE
"ghost white","Q5610762","F8F8FF","Pigmentary",TRUE
"ginger green","Q108312069","B2B726","General",TRUE
"golden brown","Q69362239","996515","Iridescent",TRUE
"green pepper","Q137832030","397D02","General",TRUE
"green tea","Q4001278","D0F0C0","General",TRUE
"green-brown","Q119267340","696006","Pigmentary",TRUE
"greenish-white","Q113897502","ccffcc","Pigmentary",TRUE
"greige","Q105996967","B0A999","General",TRUE
"grenadine pink","Q115640836","FF616B","General",TRUE
"ground beef","Q133176313","420005","General",TRUE
"gunmetal","Q901715","020D15","General",TRUE
"harlequin","Q3305070","3FFF00","General",TRUE
"hazel","Q69524026","B5AE6E","General",TRUE
"heliotrope","Q2296108","DF73FF","General",TRUE
"hickory","Q106006725","B7A28E","General",TRUE
"honeydew","Q90809376","F0FFF0","General",TRUE
"hot pink","Q90809383","FF69B4","General",TRUE
"hunter green","Q15141721","355E3B","General",TRUE
"ice blue","Q56887977","99FFFF","General",TRUE
"illuminating emerald","Q60679298","339966","Iridescent",TRUE
"indigo white","Q11622600","EBF6F7","Pigmentary",TRUE
"insignia red","Q24239818","9B2F25","General",TRUE
"isabelline","Q2002932","F4F0EC","General",TRUE
"jade","Q13582464","00A86B","General",TRUE
"jalapeño green","Q137832049","0B4906","General",TRUE
"jasper","Q133187826","343B36","General",TRUE
"jet black","Q123227593","131513","Pigmentary",TRUE
"king blue","Q132459375","375184","General",TRUE
"laser lemon","Q3762379","FFFF66","General",TRUE
